,IDs,pos_depart,pos_arrivee,born_time
930,R930,MP35,MP25,12
931,R931,MP45,MP7,15
932,R932,MP13,MP36,9
933,R933,MP9,MP41,4
934,R934,MP8,MP48,1
935,R935,MP3,MP29,7
936,R936,MP7,MP46,5
937,R937,MP17,MP10,18
938,R938,MP25,MP32,10
939,R939,MP16,MP29,1
940,R940,MP48,MP33,13
941,R941,MP47,MP22,7
942,R942,MP34,MP45,2
943,R943,MP37,MP28,8
944,R944,MP8,MP12,7
945,R945,MP46,MP9,18
946,R946,MP3,MP17,11
947,R947,MP18,MP2,7
948,R948,MP29,MP21,13
949,R949,MP32,MP4,3
950,R950,MP36,MP27,12
951,R951,MP44,MP18,18
952,R952,MP9,MP16,7
953,R953,MP45,MP29,7
954,R954,MP23,MP25,4
955,R955,MP47,MP32,15
956,R956,MP29,MP9,7
957,R957,MP44,MP19,7
958,R958,MP3,MP41,10
959,R959,MP12,MP28,3
960,R960,MP28,MP12,19
961,R961,MP30,MP24,6
962,R962,MP2,MP34,4
963,R963,MP43,MP6,17
964,R964,MP33,MP6,7
965,R965,MP43,MP10,2
966,R966,MP7,MP31,12
967,R967,MP26,MP25,19
968,R968,MP0,MP35,16
969,R969,MP20,MP30,11
970,R970,MP40,MP9,19
971,R971,MP0,MP4,18
972,R972,MP7,MP9,10
973,R973,MP38,MP4,6
974,R974,MP5,MP39,8
975,R975,MP14,MP21,2
976,R976,MP28,MP1,17
977,R977,MP49,MP23,5
978,R978,MP42,MP47,17
979,R979,MP36,MP15,15
980,R980,MP12,MP14,13
981,R981,MP24,MP32,4
982,R982,MP40,MP33,14
983,R983,MP44,MP16,10
984,R984,MP4,MP22,3
985,R985,MP3,MP7,12
986,R986,MP44,MP40,12
987,R987,MP24,MP40,14
988,R988,MP7,MP3,14
989,R989,MP49,MP3,15
990,R990,MP24,MP15,11
991,R991,MP30,MP5,4
992,R992,MP18,MP49,15
993,R993,MP19,MP1,3
994,R994,MP11,MP32,18
995,R995,MP40,MP31,1
996,R996,MP40,MP3,13
997,R997,MP5,MP23,9
998,R998,MP31,MP18,12
999,R999,MP20,MP14,1
